代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
162411.SZ,华宝标普油气A人民币,2012-06-08,--,0.86,0.86,0.84,0.85,132140,111813,--,--,0.8462
162411.SZ,华宝标普油气A人民币,2012-06-11,0.85,0.85,0.85,0.85,0.85,100208,85034,0.00,0.2358,0.8486
162411.SZ,华宝标普油气A人民币,2012-06-12,0.85,0.86,0.86,0.83,0.83,34082,29190,-0.02,-2.3529,0.8565
162411.SZ,华宝标普油气A人民币,2012-06-13,0.83,0.85,0.86,0.83,0.85,15384,13062,0.02,2.2892,0.8491
162411.SZ,华宝标普油气A人民币,2012-06-14,0.85,0.84,0.85,0.84,0.84,12918,10853,-0.01,-0.9423,0.8402
162411.SZ,华宝标普油气A人民币,2012-06-15,0.84,0.84,0.84,0.84,0.84,8629,7263,0.00,0.1189,0.8417
162411.SZ,华宝标普油气A人民币,2012-06-18,0.84,0.85,0.89,0.84,0.88,41347,35582,0.04,4.3943,0.8606
162411.SZ,华宝标普油气A人民币,2012-06-19,0.88,0.84,0.89,0.84,0.88,33019,28398,0.00,0.1138,0.8601
162411.SZ,华宝标普油气A人民币,2012-06-20,0.88,0.85,0.86,0.85,0.86,7087,6029,-0.02,-2.6136,0.8507
162411.SZ,华宝标普油气A人民币,2012-06-21,0.86,0.86,0.86,0.84,0.85,3110,2647,-0.01,-0.9335,0.8511
162411.SZ,华宝标普油气A人民币,2012-06-25,0.85,0.84,0.84,0.84,0.84,31316,26297,-0.01,-1.1779,0.8397
162411.SZ,华宝标普油气A人民币,2012-06-26,0.84,0.81,0.86,0.81,0.85,8136,6894,0.01,1.6687,0.8473
162411.SZ,华宝标普油气A人民币,2012-06-27,0.85,0.86,0.86,0.82,0.83,31485,26331,-0.02,-2.1102,0.8363
162411.SZ,华宝标普油气A人民币,2012-06-28,0.83,0.83,0.83,0.83,0.83,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-06-29,0.83,0.83,0.85,0.83,0.85,35851,30334,0.01,1.4371,0.8461
162411.SZ,华宝标普油气A人民币,2012-07-02,0.85,0.88,0.88,0.86,0.87,146893,127986,0.02,2.7155,0.8713
162411.SZ,华宝标普油气A人民币,2012-07-03,0.87,0.88,0.89,0.88,0.88,50217,44238,0.01,1.3793,0.8809
162411.SZ,华宝标普油气A人民币,2012-07-04,0.88,0.94,0.94,0.89,0.92,67072,61024,0.04,3.9683,0.9098
162411.SZ,华宝标普油气A人民币,2012-07-05,0.92,0.90,0.92,0.90,0.90,13885,12581,-0.01,-1.4177,0.9061
162411.SZ,华宝标普油气A人民币,2012-07-06,0.90,0.90,0.90,0.90,0.90,15393,13896,0.00,0.0000,0.9028
162411.SZ,华宝标普油气A人民币,2012-07-09,0.90,0.89,0.89,0.88,0.88,19500,17243,-0.02,-2.2124,0.8843
162411.SZ,华宝标普油气A人民币,2012-07-10,0.88,0.90,0.90,0.90,0.90,3333,3011,0.02,2.0362,0.9033
162411.SZ,华宝标普油气A人民币,2012-07-11,0.90,0.87,0.90,0.87,0.90,13900,12456,-0.00,-0.4435,0.8961
162411.SZ,华宝标普油气A人民币,2012-07-12,0.90,0.86,0.90,0.86,0.86,23003,20208,-0.04,-3.8976,0.8785
162411.SZ,华宝标普油气A人民币,2012-07-13,0.86,0.86,0.86,0.86,0.86,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-07-16,0.86,0.86,0.86,0.86,0.86,26048,22453,-0.00,-0.1159,0.8620
162411.SZ,华宝标普油气A人民币,2012-07-17,0.86,0.88,0.89,0.88,0.89,10000,8825,0.02,2.6682,0.8825
162411.SZ,华宝标普油气A人民币,2012-07-18,0.89,0.89,0.89,0.89,0.89,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-07-19,0.89,0.92,0.92,0.92,0.92,200,183,0.03,3.5028,0.9160
162411.SZ,华宝标普油气A人民币,2012-07-20,0.92,0.93,0.93,0.93,0.93,3900,3616,0.01,1.2009,0.9272
162411.SZ,华宝标普油气A人民币,2012-07-23,0.93,0.90,0.92,0.87,0.89,29900,27238,-0.04,-4.2071,0.9110
162411.SZ,华宝标普油气A人民币,2012-07-24,0.89,0.87,0.87,0.87,0.87,4218,3680,-0.02,-1.6892,0.8724
162411.SZ,华宝标普油气A人民币,2012-07-25,0.87,0.87,0.87,0.85,0.86,590917,506431,-0.01,-0.9164,0.8570
162411.SZ,华宝标普油气A人民币,2012-07-26,0.86,0.86,0.86,0.86,0.86,17031,14618,-0.00,-0.2312,0.8583
162411.SZ,华宝标普油气A人民币,2012-07-27,0.86,0.87,0.87,0.87,0.87,1222500,1060021,0.01,1.0429,0.8671
162411.SZ,华宝标普油气A人民币,2012-07-30,0.87,0.89,0.91,0.89,0.91,523743,465251,0.03,3.7844,0.8883
162411.SZ,华宝标普油气A人民币,2012-07-31,0.91,0.91,0.91,0.91,0.91,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-08-01,0.91,0.88,0.91,0.88,0.90,48443,43549,-0.00,-0.2210,0.8990
162411.SZ,华宝标普油气A人民币,2012-08-02,0.90,0.90,0.90,0.90,0.90,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-08-03,0.90,0.90,0.90,0.90,0.90,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-08-06,0.90,0.91,0.91,0.90,0.90,16900,15262,-0.00,-0.1107,0.9031
162411.SZ,华宝标普油气A人民币,2012-08-07,0.90,0.90,0.90,0.90,0.90,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-08-08,0.90,0.91,0.91,0.91,0.91,23133,21058,0.01,0.8869,0.9103
162411.SZ,华宝标普油气A人民币,2012-08-09,0.91,0.91,0.92,0.91,0.92,65396,60195,0.01,1.2088,0.9205
162411.SZ,华宝标普油气A人民币,2012-08-10,0.92,0.92,0.93,0.92,0.93,49883,46174,0.01,0.6515,0.9256
162411.SZ,华宝标普油气A人民币,2012-08-13,0.93,0.93,0.93,0.93,0.93,21900,20292,0.00,0.0000,0.9266
162411.SZ,华宝标普油气A人民币,2012-08-14,0.93,0.92,0.93,0.92,0.93,2100,1948,0.00,0.1079,0.9274
162411.SZ,华宝标普油气A人民币,2012-08-15,0.93,0.94,0.94,0.93,0.93,4000,3721,0.00,0.2155,0.9303
162411.SZ,华宝标普油气A人民币,2012-08-16,0.93,0.93,0.95,0.93,0.93,15650,14709,0.00,0.0000,0.9399
162411.SZ,华宝标普油气A人民币,2012-08-17,0.93,0.94,0.95,0.94,0.94,59600,55914,0.01,0.9677,0.9382
162411.SZ,华宝标普油气A人民币,2012-08-20,0.94,0.94,0.96,0.94,0.94,65900,62846,0.00,0.2130,0.9536
162411.SZ,华宝标普油气A人民币,2012-08-21,0.94,0.95,0.95,0.94,0.94,12118,11442,-0.00,-0.1063,0.9442
162411.SZ,华宝标普油气A人民币,2012-08-22,0.94,0.96,0.96,0.95,0.95,23050,21996,0.01,0.8511,0.9543
162411.SZ,华宝标普油气A人民币,2012-08-23,0.95,0.96,0.96,0.96,0.96,19232,18459,0.01,1.2658,0.9598
162411.SZ,华宝标普油气A人民币,2012-08-24,0.96,0.96,0.96,0.92,0.95,7500,7123,-0.01,-1.1458,0.9497
162411.SZ,华宝标普油气A人民币,2012-08-27,0.95,0.95,0.95,0.94,0.94,26800,25358,-0.01,-0.8430,0.9462
162411.SZ,华宝标普油气A人民币,2012-08-28,0.94,0.94,0.94,0.94,0.94,1100,1035,0.00,0.0000,0.9410
162411.SZ,华宝标普油气A人民币,2012-08-29,0.94,0.94,0.94,0.94,0.94,6700,6299,-0.00,-0.1063,0.9402
162411.SZ,华宝标普油气A人民币,2012-08-30,0.94,0.93,0.94,0.93,0.93,17802,16566,-0.01,-1.0638,0.9306
162411.SZ,华宝标普油气A人民币,2012-08-31,0.93,0.93,0.93,0.93,0.93,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-09-03,0.93,0.94,0.96,0.94,0.96,2500,2373,0.03,3.7634,0.9492
162411.SZ,华宝标普油气A人民币,2012-09-04,0.96,0.96,0.97,0.96,0.97,1100,1063,0.00,0.4145,0.9661
162411.SZ,华宝标普油气A人民币,2012-09-05,0.97,0.95,0.95,0.95,0.95,300,285,-0.02,-1.9608,0.9500
162411.SZ,华宝标普油气A人民币,2012-09-06,0.95,0.94,0.94,0.93,0.93,9700,9023,-0.02,-2.5263,0.9302
162411.SZ,华宝标普油气A人民币,2012-09-07,0.93,0.93,0.94,0.93,0.94,4132,3861,0.01,1.2959,0.9343
162411.SZ,华宝标普油气A人民币,2012-09-10,0.94,0.94,0.95,0.94,0.95,6302,5982,0.02,1.8124,0.9492
162411.SZ,华宝标普油气A人民币,2012-09-11,0.95,0.95,0.96,0.95,0.96,6000,5757,0.01,0.9424,0.9595
162411.SZ,华宝标普油气A人民币,2012-09-12,0.96,0.97,0.98,0.97,0.98,63500,61949,0.02,1.5560,0.9756
162411.SZ,华宝标普油气A人民币,2012-09-13,0.98,0.98,0.98,0.98,0.98,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-09-14,0.98,0.99,1.08,0.99,1.08,54112,53749,0.10,10.0102,0.9933
162411.SZ,华宝标普油气A人民币,2012-09-17,1.08,1.08,1.08,1.01,1.05,141034,144349,-0.03,-2.7855,1.0235
162411.SZ,华宝标普油气A人民币,2012-09-18,1.05,1.02,1.04,1.01,1.02,96322,98450,-0.02,-2.2923,1.0221
162411.SZ,华宝标普油气A人民币,2012-09-19,1.02,1.00,1.02,1.00,1.02,33424,33696,-0.00,-0.0978,1.0081
162411.SZ,华宝标普油气A人民币,2012-09-20,1.02,1.00,1.00,0.99,0.99,20400,20292,-0.03,-3.3268,0.9947
162411.SZ,华宝标普油气A人民币,2012-09-21,0.99,1.00,1.00,0.98,1.00,62900,62025,0.01,1.2146,0.9861
162411.SZ,华宝标普油气A人民币,2012-09-24,1.00,1.00,1.00,0.98,0.98,31800,31849,-0.02,-2.0000,1.0016
162411.SZ,华宝标普油气A人民币,2012-09-25,0.98,1.00,1.01,1.00,1.01,18000,18107,0.03,2.7551,1.0059
162411.SZ,华宝标普油气A人民币,2012-09-26,1.01,1.01,1.01,1.01,1.01,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-09-27,1.01,1.03,1.03,1.01,1.01,1500,1535,0.00,0.2979,1.0233
162411.SZ,华宝标普油气A人民币,2012-09-28,1.01,0.98,1.01,0.98,1.01,21100,20855,0.00,0.0000,0.9884
162411.SZ,华宝标普油气A人民币,2012-10-08,1.01,1.00,1.00,1.00,1.00,10400,10408,-0.01,-0.8911,1.0008
162411.SZ,华宝标普油气A人民币,2012-10-09,1.00,1.00,1.01,0.97,1.00,46900,46844,-0.00,-0.1998,0.9988
162411.SZ,华宝标普油气A人民币,2012-10-10,1.00,1.01,1.01,1.01,1.01,4400,4441,0.01,1.0010,1.0092
162411.SZ,华宝标普油气A人民币,2012-10-11,1.01,1.02,1.10,1.02,1.10,87900,96585,0.09,9.0188,1.0988
162411.SZ,华宝标普油气A人民币,2012-10-12,1.10,1.10,1.10,1.05,1.05,3008,3199,-0.05,-4.7273,1.0636
162411.SZ,华宝标普油气A人民币,2012-10-15,1.05,1.06,1.06,1.01,1.01,700,735,-0.03,-3.1489,1.0500
162411.SZ,华宝标普油气A人民币,2012-10-16,1.01,1.01,1.05,1.01,1.03,29200,30087,0.02,1.4778,1.0304
162411.SZ,华宝标普油气A人民币,2012-10-17,1.03,1.10,1.10,1.10,1.10,300,330,0.07,6.6990,1.0990
162411.SZ,华宝标普油气A人民币,2012-10-18,1.10,1.10,1.10,1.01,1.08,68214,69763,-0.01,-1.2739,1.0227
162411.SZ,华宝标普油气A人民币,2012-10-19,1.08,1.17,1.17,1.00,1.03,47900,51054,-0.05,-4.6083,1.0659
162411.SZ,华宝标普油气A人民币,2012-10-22,1.03,1.02,1.02,1.01,1.02,7000,7128,-0.01,-1.4493,1.0183
162411.SZ,华宝标普油气A人民币,2012-10-23,1.02,1.02,1.02,1.02,1.02,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-10-24,1.02,1.02,1.02,1.00,1.02,46900,47748,-0.00,-0.0980,1.0181
162411.SZ,华宝标普油气A人民币,2012-10-25,1.02,1.00,1.00,0.98,1.00,32100,32039,-0.02,-1.8646,0.9981
162411.SZ,华宝标普油气A人民币,2012-10-26,1.00,1.00,1.00,1.00,1.00,--,--,0.00,0.0000,--
162411.SZ,华宝标普油气A人民币,2012-10-29,1.00,0.97,0.98,0.94,0.98,53019,50656,-0.02,-2.1000,0.9554
162411.SZ,华宝标普油气A人民币,2012-10-30,0.98,0.98,0.98,0.96,0.96,12600,12268,-0.02,-1.9408,0.9737
162411.SZ,华宝标普油气A人民币,2012-10-31,0.96,0.96,0.96,0.96,0.96,300,290,0.01,0.5208,0.9650
162411.SZ,华宝标普油气A人民币,2012-11-01,0.96,0.96,1.04,0.96,1.04,33200,32112,0.07,7.5648,0.9672
