代码,简称,日期,前收盘价(元),开盘价(元),最高价(元),最低价(元),收盘价(元),成交量(股),成交金额(元),涨跌(元),涨跌幅(%),均价(元)
512000.SH,华宝中证全指证券ETF,2016-09-14,--,0.98,0.98,0.98,0.98,117724091,115431402,--,--,0.9805
512000.SH,华宝中证全指证券ETF,2016-09-19,0.98,0.98,0.98,0.98,0.98,23491531,23072514,0.00,0.2041,0.9822
512000.SH,华宝中证全指证券ETF,2016-09-20,0.98,0.98,0.98,0.98,0.98,17201235,16855033,-0.00,-0.2037,0.9799
512000.SH,华宝中证全指证券ETF,2016-09-21,0.98,0.98,0.99,0.98,0.99,52039781,51417210,0.01,0.9184,0.9880
512000.SH,华宝中证全指证券ETF,2016-09-22,0.99,1.00,1.00,0.99,0.99,26447076,26239881,0.00,0.0000,0.9922
512000.SH,华宝中证全指证券ETF,2016-09-23,0.99,0.99,0.99,0.98,0.98,10420735,10280193,-0.01,-0.6067,0.9865
512000.SH,华宝中证全指证券ETF,2016-09-26,0.98,0.98,0.98,0.96,0.96,6695017,6523214,-0.02,-2.1363,0.9743
512000.SH,华宝中证全指证券ETF,2016-09-27,0.96,0.96,0.98,0.96,0.98,7508563,7298807,0.01,1.4553,0.9721
512000.SH,华宝中证全指证券ETF,2016-09-28,0.98,0.98,0.98,0.97,0.97,3131505,3046418,-0.01,-0.6148,0.9728
512000.SH,华宝中证全指证券ETF,2016-09-29,0.97,0.97,0.99,0.97,0.98,16064010,15833643,0.01,1.3402,0.9857
512000.SH,华宝中证全指证券ETF,2016-09-30,0.98,0.98,0.99,0.98,0.98,4255474,4181052,-0.00,-0.2035,0.9825
512000.SH,华宝中证全指证券ETF,2016-10-10,0.98,0.99,1.00,0.99,1.00,24451218,24309785,0.02,1.6310,0.9942
512000.SH,华宝中证全指证券ETF,2016-10-11,1.00,1.00,1.00,0.99,1.00,32603168,32563116,0.00,0.2006,0.9988
512000.SH,华宝中证全指证券ETF,2016-10-12,1.00,0.99,1.00,0.99,1.00,4191184,4178756,-0.00,-0.2002,0.9970
512000.SH,华宝中证全指证券ETF,2016-10-13,1.00,1.00,1.00,0.99,1.00,17727388,17724293,0.00,0.2006,0.9998
512000.SH,华宝中证全指证券ETF,2016-10-14,1.00,1.00,1.00,0.99,0.99,4752054,4727264,-0.00,-0.4004,0.9948
512000.SH,华宝中证全指证券ETF,2016-10-17,0.99,0.99,1.00,0.98,0.98,3432573,3405221,-0.01,-1.1055,0.9920
512000.SH,华宝中证全指证券ETF,2016-10-18,0.98,0.98,1.01,0.98,1.00,36433189,36497088,0.02,2.1341,1.0018
512000.SH,华宝中证全指证券ETF,2016-10-19,1.00,1.00,1.01,0.99,1.00,9295393,9309512,-0.01,-0.6965,1.0015
512000.SH,华宝中证全指证券ETF,2016-10-20,1.00,1.00,1.00,1.00,1.00,4278939,4273400,-0.00,-0.2004,0.9987
512000.SH,华宝中证全指证券ETF,2016-10-21,1.00,1.00,1.01,0.99,1.00,28340973,28512522,0.01,0.6024,1.0061
512000.SH,华宝中证全指证券ETF,2016-10-24,1.00,1.00,1.04,1.00,1.02,58977779,60524536,0.02,2.2954,1.0262
512000.SH,华宝中证全指证券ETF,2016-10-25,1.02,1.02,1.02,1.01,1.02,4257741,4336009,-0.01,-0.5854,1.0184
512000.SH,华宝中证全指证券ETF,2016-10-26,1.02,1.02,1.03,1.01,1.02,5662643,5775667,-0.00,-0.2944,1.0200
512000.SH,华宝中证全指证券ETF,2016-10-27,1.02,1.01,1.02,1.01,1.02,8023950,8150097,0.00,0.0984,1.0157
512000.SH,华宝中证全指证券ETF,2016-10-28,1.02,1.02,1.05,1.02,1.02,23516274,24469800,0.01,0.6883,1.0405
512000.SH,华宝中证全指证券ETF,2016-10-31,1.02,1.02,1.03,1.00,1.02,5375639,5466240,0.00,0.0000,1.0169
512000.SH,华宝中证全指证券ETF,2016-11-01,1.02,1.02,1.04,1.02,1.03,11875076,12244970,0.01,0.6836,1.0311
512000.SH,华宝中证全指证券ETF,2016-11-02,1.03,1.02,1.04,1.02,1.03,7171334,7420197,-0.00,-0.2910,1.0347
512000.SH,华宝中证全指证券ETF,2016-11-03,1.03,1.02,1.07,1.02,1.05,27171609,28636764,0.02,2.1401,1.0539
512000.SH,华宝中证全指证券ETF,2016-11-04,1.05,1.05,1.06,1.04,1.04,7197176,7560790,-0.01,-0.4762,1.0505
512000.SH,华宝中证全指证券ETF,2016-11-07,1.04,1.04,1.05,1.04,1.05,4574890,4797290,0.00,0.2871,1.0486
512000.SH,华宝中证全指证券ETF,2016-11-08,1.05,1.05,1.06,1.05,1.05,3101050,3267453,0.00,0.0954,1.0537
512000.SH,华宝中证全指证券ETF,2016-11-09,1.05,1.05,1.05,1.03,1.04,5338066,5535990,-0.01,-1.1439,1.0371
